,Alan Peter Cayetano,Antonio Trillanes,Benigno Aquino III,Chiz Escudero,Grace Poe,Jejomar Binay,Juan Ponce Enrile,Leni Robredo,Mar Roxas,Miriam Defensor Santiago,Rodrigo Duterte
Alan Peter Cayetano,100.0,94.9,100.0,91.7,80.1,97.3,96.1,99.2,96.1,91.5,95.6
Antonio Trillanes,94.9,100.0,94.9,94.9,91.1,93.0,91.1,94.3,91.1,94.7,91.4
Benigno Aquino III,100.0,94.9,100.0,91.7,80.1,97.3,96.1,99.2,96.1,91.5,95.6
Chiz Escudero,91.7,94.9,91.7,100.0,96.1,88.6,96.1,94.1,96.1,99.8,86.7
Grace Poe,80.1,91.1,80.1,96.1,100.0,76.8,84.6,82.4,84.6,95.9,74.8
Jejomar Binay,97.3,93.0,97.3,88.6,76.8,100.0,93.5,97.8,93.5,88.5,99.6
Juan Ponce Enrile,96.1,91.1,96.1,96.1,84.6,93.5,100.0,98.5,100.0,95.9,91.8
Leni Robredo,99.2,94.3,99.2,94.1,82.4,97.8,98.5,100.0,98.5,94.0,96.4
Mar Roxas,96.1,91.1,96.1,96.1,84.6,93.5,100.0,98.5,100.0,95.9,91.8
Miriam Defensor Santiago,91.5,94.7,91.5,99.8,95.9,88.5,95.9,94.0,95.9,100.0,86.6
Rodrigo Duterte,95.6,91.4,95.6,86.7,74.8,99.6,91.8,96.4,91.8,86.6,100.0
